city,precinct,office,district,party,candidate,votes
Shaw-Topeka,Ward 1 Precinct 1,U.S. Senate,,R,Pat Roberts,44
Shaw-Topeka,Ward 1 Precinct 2,U.S. Senate,,R,Pat Roberts,57
Shaw-Topeka,Ward 1 Precinct 3,U.S. Senate,,R,Pat Roberts,55
Shaw-Topeka,Ward 1 Precinct 4,U.S. Senate,,R,Pat Roberts,90
Shaw-Topeka,Ward 1 Precinct 5,U.S. Senate,,R,Pat Roberts,157
Shaw-Topeka,Ward 1 Precinct 6,U.S. Senate,,R,Pat Roberts,216
Shaw-Topeka,Ward 2 Precinct 1,U.S. Senate,,R,Pat Roberts,86
Shaw-Topeka,Ward 2 Precinct 2,U.S. Senate,,R,Pat Roberts,75
Shaw-Topeka,Ward 2 Precinct 3,U.S. Senate,,R,Pat Roberts,77
Shaw-Topeka,Ward 2 Precinct 4,U.S. Senate,,R,Pat Roberts,61
Shaw-Topeka,Ward 2 Precinct 5,U.S. Senate,,R,Pat Roberts,49
Shaw-Topeka,Ward 2 Precinct 6,U.S. Senate,,R,Pat Roberts,46
Shaw-Topeka,Ward 2 Precinct 7,U.S. Senate,,R,Pat Roberts,19
Shaw-Topeka,Ward 2 Precinct 8,U.S. Senate,,R,Pat Roberts,11
Shaw-Topeka,Ward 2 Precinct 9,U.S. Senate,,R,Pat Roberts,81
Shaw-Topeka,Ward 2 Precinct 10,U.S. Senate,,R,Pat Roberts,61
Shaw-Topeka,Ward 2 Precinct 11,U.S. Senate,,R,Pat Roberts,49
Shaw-Topeka,Ward 3 Precinct 1,U.S. Senate,,R,Pat Roberts,75
Shaw-Topeka,Ward 3 Precinct 2,U.S. Senate,,R,Pat Roberts,67
Shaw-Topeka,Ward 3 Precinct 3,U.S. Senate,,R,Pat Roberts,38
Shaw-Topeka,Ward 3 Precinct 4,U.S. Senate,,R,Pat Roberts,52
Shaw-Topeka,Ward 3 Precinct 5,U.S. Senate,,R,Pat Roberts,27
Shaw-Topeka,Ward 3 Precinct 6,U.S. Senate,,R,Pat Roberts,48
Shaw-Topeka,Ward 3 Precinct 7,U.S. Senate,,R,Pat Roberts,45
Shaw-Topeka,Ward 3 Precinct 8,U.S. Senate,,R,Pat Roberts,65
Shaw-Topeka,Ward 3 Precinct 9,U.S. Senate,,R,Pat Roberts,54
Shaw-Topeka,Ward 3 Precinct 10,U.S. Senate,,R,Pat Roberts,3
Shaw-Topeka,Ward 4 Precinct 1,U.S. Senate,,R,Pat Roberts,37
Shaw-Topeka,Ward 4 Precinct 2,U.S. Senate,,R,Pat Roberts,37
Shaw-Topeka,Ward 4 Precinct 3,U.S. Senate,,R,Pat Roberts,20
Shaw-Topeka,Ward 4 Precinct 4,U.S. Senate,,R,Pat Roberts,22
Shaw-Topeka,Ward 4 Precinct 6,U.S. Senate,,R,Pat Roberts,56
Shaw-Topeka,Ward 4 Precinct 7,U.S. Senate,,R,Pat Roberts,29
Shaw-Topeka,Ward 4 Precinct 8,U.S. Senate,,R,Pat Roberts,54
Shaw-Topeka,Ward 4 Precinct 9,U.S. Senate,,R,Pat Roberts,48
Shaw-Topeka,Ward 4 Precinct 10,U.S. Senate,,R,Pat Roberts,67
Shaw-Topeka,Ward 4 Precinct 11,U.S. Senate,,R,Pat Roberts,37
Shaw-Topeka,Ward 4 Precinct 12,U.S. Senate,,R,Pat Roberts,1
Shaw-Topeka,Ward 4 Precinct 15,U.S. Senate,,R,Pat Roberts,48
Shaw-Topeka,Ward 5 Precinct 1,U.S. Senate,,R,Pat Roberts,37
Shaw-Topeka,Ward 5 Precinct 2,U.S. Senate,,R,Pat Roberts,47
Shaw-Topeka,Ward 5 Precinct 3,U.S. Senate,,R,Pat Roberts,71
Shaw-Topeka,Ward 5 Precinct 4,U.S. Senate,,R,Pat Roberts,57
Shaw-Topeka,Ward 5 Precinct 5,U.S. Senate,,R,Pat Roberts,61
Shaw-Topeka,Ward 5 Precinct 6,U.S. Senate,,R,Pat Roberts,40
Shaw-Topeka,Ward 5 Precinct 7,U.S. Senate,,R,Pat Roberts,49
Shaw-Topeka,Ward 5 Precinct 8,U.S. Senate,,R,Pat Roberts,58
Shaw-Topeka,Ward 5 Precinct 9,U.S. Senate,,R,Pat Roberts,138
Shaw-Topeka,Ward 5 Precinct 10,U.S. Senate,,R,Pat Roberts,190
Shaw-Topeka,Ward 5 Precinct 11,U.S. Senate,,R,Pat Roberts,136
Shaw-Topeka,Ward 5 Precinct 14,U.S. Senate,,R,Pat Roberts,107
Shaw-Topeka,Ward 5 Precinct 15,U.S. Senate,,R,Pat Roberts,25
