county,precinct count,2000 primary,2000 general,2002 primary,2002 general,2004 primary,2004 general,2006 primary,2006 general,2008 primary,2008 general,2010 primary,2010 general,2012 primary,2012 general,2014 primary,2014 general,2016 primary,2016 general
Allen,21,,,,,,,,,,,,,,,,done,,done
Anderson,19,,,,,,,,,,,,,,,,done,,done
Atchison,18,,,,,,,,,,,,,,,,done,,done
Barber,22,,,,,,,,,,,,,,,,done,,done
Barton,42,,,,,,,,,,,,,,,,done,,
Bourbon,19,,,,,,,,,,,,,,,,done,,done
Brown,18,,,,,,,,,,,,,,,,done,,
Butler,48,,,,,,,,,,,,,,,,done,,done
Chase,11,,,,,,,,,,,,,,,,done,,
Chautauqua,12,,,,,,,,,,,,,,,,done,,
Cherokee,38,,,,,,,,,,,,,,,,done,,done
Cheyenne,8,,,,,,,,,,,,,,,,done,,done
Clark,7,,,,,,,,,,,,,,,,done,,done
Clay,22,,,,,,,,,,,,,,,,done,,
Cloud,26,,,,,,,,,,,,,,,,done,,
Coffey,17,,,,,,,,,,,,,,,,done,,
Comanche,5,,,,,,,,,,,,,,,,done,,
Cowley,57,,,,,,,,,,,,,,,,done,,done
Crawford,62,,,,,,,,,,,,,,,,done,,done
Decatur,27,,,,,,,,,,,,,,,,done,,done
Dickinson,34,,,,,,,,,,,,,,,,done,,done
Doniphan,13,,,,,,,,,,,,,,,,done,,done
Douglas,93,,,,,,,,,,,,,,,,done,,done
Edwards,15,,,,,,,,,,,,,,,,done,,done
Elk,10,,,,,,,,,,,,,,,,done,,
Ellis,35,,,,,,,,,,,,,,,,done,,done
Ellsworth,25,,,,,,,,,,,,,,,,done,,done
Finney,27,,,,,,,,,,,,,,,,done,,
Ford,30,,,,,,,,,,,,,,,,done,,
Franklin,27,,,,,,,,,,,,,,,,done,,
Geary,40,,,,,,,,,,,,,,,,done,,
Gove,7,,,,,,,,,,,,,,,,done,,
Graham,19,,,,,,,,,,,,,,,,done,,done
Grant,6,,,,,,,,,,,,,,,,done,,done
Gray,8,,,,,,,,,,,,,,,,done,,done
Greeley,3,,,,,,,,,,,,,,,,done,,done
Greenwood,20,,,,,,,,,,,,,,,,done,,
Hamilton,12,,,,,,,,,,,,,,,,done,,done
Harper,15,,,,,,,,,,,,,,,,done,,done
Harvey,38,,,,,,,,,,,,,,,,done,,
Haskell,11,,,,,,,,,,,,,,,,done,,done
Hodgeman,11,,,,,,,,,,,,,,,,done,,done
Jackson,18,,,,,,,,,,,,,,,,done,,
Jefferson,14,,,,,,,,,,,,,,,,done,,done
Jewell,26,,,,,,,,,,,,,,,,done,,
Johnson,457,,,,,,,,,,,,,,,,done,,done
Kearny,10,,,,,,,,,,,,,,,,done,,done
Kingman,28,,,,,,,,,,,,,,,,done,,
Kiowa,11,,,,,,,,,,,,,,,,done,,done
Labette,38,,,,,,,,,,,,,,,,done,,
Lane,10,,,,,,,,,,,,,,,,done,,
Leavenworth,43,,,,,,,,,,,,,,,,done,,done
Lincoln,22,,,,,,,,,,,,,,,,done,,
Linn,14,,,,,,,,,,,,,,,,done,,
Logan,13,,,,,,,,,,,,,,,,done,,
Lyon,36,,,,,,,,,,,,,,,,done,,
Marion,31,,,,,,,,,,,,,,,,done,,
Marshall,35,,,,,,,,,,,,,,,,done,,done
Mcpherson,33,,,,,,,,,,,,,,,,done,,
Meade,9,,,,,,,,,,,,,,,,done,,
Miami,45,,,,,,,,,,,,,,,,done,,done
Mitchell,25,,,,,,,,,,,,,,,,done,,
Montgomery,58,,,,,,,,,,,,,,,,done,,
Morris,15,,,,,,,,,,,,,,,,done,,
Morton,10,,,,,,,,,,,,,,,,done,,
Nemaha,30,,,,,,,,,,,,,,,,done,,done
Neosho,25,,,,,,,,,,,,,,,,done,,
Ness,12,,,,,,,,,,,,,,,,done,,
Norton,13,,,,,,,,,,,,,,,,done,,
Osage,25,,,,,,,,,,,,,,,,done,,done
Osborne,29,,,,,,,,,,,,,,,,done,,
Ottawa,23,,,,,,,,,,,,,,,,done,,
Pawnee,27,,,,,,,,,,,,,,,,done,,
Phillips,31,,,,,,,,,,,,,,,,done,,
Pottawatomie,29,,,,,,,,,,,,,,,,done,,
Pratt,13,,,,,,,,,,,,,,,,done,,
Rawlins,17,,,,,,,,,,,,,,,,done,,
Reno,80,,,,,,,,,,,,,,,,done,,
Republic,23,,,,,,,,,,,,,,,,done,,
Rice,28,,,,,,,,,,,,,,,,done,,done
Riley,55,,,,,,,,,,,,,,,,done,,done
Rooks,14,,,,,,,,,,,,,,,,done,,
Rush,13,,,,,,,,,,,,,,,,done,,
Russell,16,,,,,,,,,,,,,,,,done,,
Saline,53,,,,,,,,,,,,,,,,done,,done
Scott,11,,,,,,,,,,,,,,,,done,,
Sedgwick,252,,,,,,,,,,,,,,,,done,,done
Seward,22,,,,,,,,,,,,,,,,done,,done
Shawnee,214,,,,,,,,,,,,,,,,done,,done
Sheridan,16,,,,,,,,,,,,,,,,done,,
Sherman,18,,,,,,,,,,,,,,,,done,,
Smith,29,,,,,,,,,,,,,,,,done,,
Stafford,24,,,,,,,,,,,,,,,,done,,
Stanton,3,,,,,,,,,,,,,,,,done,,
Stevens,15,,,,,,,,,,,,,,,,done,,
Sumner,40,,,,,,,,,,,,,,,,done,,done
Thomas,18,,,,,,,,,,,,,,,,done,,
Trego,11,,,,,,,,,,,,,,,,done,,
Wabaunsee,14,,,,,,,,,,,,,,,,done,,
Wallace,9,,,,,,,,,,,,,,,,done,,
Washington,26,,,,,,,,,,,,,,,,done,,done
Wichita,4,,,,,,,,,,,,,,,,done,,
Wilson,25,,,,,,,,,,,,,,,,done,,
Woodson,9,,,,,,,,,,,,,,,,done,,
Wyandotte,113,,,,,,,,,,,,,,,,done,,done
